Rank in 2022,Country,2000,2007,2014,2022,Absolute change,Percent change
92,Togo,39.3,30.2,26.1,22.8,-3.3,-12.6
93,Mali,41.7,35.7,26.1,23.2,-2.9,-11.1
94,Kenya,36.6,31.1,21.6,23.5,1.9,8.8
95,Tanzania,40.8,30.9,25.5,23.6,-1.9,.7.5
96,Burkina Faso,44.9,34.5,26.5,24.5,-2,-7.5
97,Korea,39.5,29.6,27.5,24.9,-2.6,-9.5
98,Angola,64.9,44.7,26.2,25.9,-0.3,-1.1
99,Pakistan,36.8,32.1,29.6,26.1,-3.5,-11.8
100,Papua New Guinea,33.6,29.9,29,26.5,-2.5,-8.6
101,Comoros,39.5,31.7,29.1,26.9,-2.2,-7.6
102,Rwanda,49.9,35.9,29.5,27.2,-2.3,-7.8
103,Nigeria,40.4,32.1,28.4,27.3,-1.1,-3.9
104,Ethiopia,53.6,42.6,27.4,27.6,0.2,0.7
105,Congo,34.7,33.7,25.3,28.1,2.8,11.1
106,Sudan,0,0,29.3,28.8,-0.5,-1.7
107,India,38.8,36.3,28.2,29.1,0.9,3.2
108,Zambia,53.3,46,35.2,29.3,-5.9,-16.8
109,Afghanistan,50.3,38.7,30.6,29.9,-0.7,-2.3
110,Timor-Leste,0,45.5,33.3,30.6,-2.7,-8.1
111,Guinea-Bissau,37.7,31,30.2,30.8,0.6,2
112,Sierra Leone,57.5,51.1,33.1,31.5,-1.6,-4.8
113,Lesotho,32.7,29.1,29.3,32.4,3.1,10..6
113,Liberia,48.2,39,34.8,32.4,-2.4,-6.9
115,Niger,52.5,40.2,32.8,32.6,-0.2,-0.6
116,Haiti,40.9,41.7,32.6,32.7,0.1,0.3
116,Guinea,99,99,99,34.920–34.9,0,0
116,Mozambique,99,99,99,34.920–34.9,0,0
116,Uganda,99,99,99,34.920–34.9,0,0
116,Zimbabwe,99,99,99,34.920–34.9,0,0
117,Chad,50.7,49,40.7,37.2,-3.5,-8.6
118,Congo,48,43.2,38.7,37.8,-0.9,-2.3
119,Madagascar,42.5,37.2,37.3,38.7,1.4,3.8
120,Central African Republic,48.8,46.8,44.6,44,-0.6,-1.3
121,Yemen,41.3,38.4,41.7,45.1,3.4,8.2
121,Burundi,99,99,99,49.935-49.9,0,0
121,Somalia,99,99,99,49.935-49.9,0,0
121,South Sudan,99,99,99,49.935-49.9,0,0
121,Syria,99,99,99,49.935-49.9,0,0
